2000.5,-1268.3,-2028.5,19497,18185,-7031,-13056,23465
2001.5,-1272.7,-2045.3,19422,18106,-7027,-13144,23451
2002.5,-1277.8,-2062.3,19343,18022,-7025,-13230,23435
2003.5,-1283.9,-2080.9,19254,17927,-7025,-13323,23414
2004.5,-1288.6,-2097,19188,17856,-7025,-13411,23410
2005.5,-1294.4,-2115.2,19097,17759,-7022,-13498,23386
2006.5,-1299.6,-2129.1,19044,17699,-7029,-13576,23387
2007.5,-1305.1,-2145.5,18973,17622,-7031,-13663,23380
2008.5,-1311,-2163.3,18894,17537,-7032,-13755,23371
2009.5,-1316,-2183,18814,17452,-7028,-13863,23370
2010.5,-1322,-2204.4,18716,17338,-7017,-13973,23355
2011.5,-1328.2,-2225.4,18617,17230,-7009,-14077,23339
2012.5,-1333.9,-2245.8,18506,17099,-7037,-14165,23317
2013.5,-1339.9,-2265,18428,17031,-6996,-14271,23307
2014.5,-1345.8,-2283.6,18347,16942,-6994,-14367,23302
2015.5,-1351.8,-2305.2,18248,16841,-6986,-14473,23290
