1967.5,-17.69,-9,-24.41,-15,22000,-70,20961,-83,-6684,-31,-9987,-80,24161,-30
1968.5,-17.83,-9,-24.66,-15,21931,-70,20877,-83,-6715,-31,-10067,-80,24131,-30
1969.5,-17.97,-9,-24.90,-15,21861,-69,20794,-83,-6746,-31,-10147,-80,24101,-29
1970.5,-18.11,-8,-25.15,-16,21793,-66,20714,-78,-6774,-26,-10232,-89,24076,-22
1971.5,-18.24,-8,-25.41,-16,21727,-66,20635,-78,-6800,-26,-10321,-89,24054,-22
1972.5,-18.37,-8,-25.67,-16,21661,-66,20557,-78,-6826,-26,-10411,-89,24033,-21
1973.5,-18.50,-8,-25.93,-16,21594,-66,20478,-78,-6852,-26,-10500,-89,24012,-20
1974.5,-18.63,-8,-26.19,-16,21528,-66,20400,-78,-6879,-26,-10590,-89,23992,-20
1975.5,-18.77,-8,-26.47,-17,21460,-70,20319,-83,-6905,-28,-10684,-100,23973,-18
1976.5,-18.91,-9,-26.76,-17,21390,-70,20236,-83,-6933,-28,-10784,-100,23955,-18
1977.5,-19.05,-9,-27.04,-17,21320,-70,20152,-83,-6961,-28,-10884,-100,23938,-17
1978.5,-19.20,-9,-27.33,-17,21251,-70,20069,-83,-6988,-28,-10984,-100,23921,-16
1979.5,-19.34,-9,-27.62,-17,21181,-70,19985,-83,-7016,-28,-11084,-100,23906,-15
1980.5,-19.48,-7,-27.93,-19,21106,-81,19898,-91,-7037,-14,-11189,-110,23888,-20
1981.5,-19.59,-7,-28.25,-19,21025,-81,19807,-91,-7051,-14,-11298,-110,23868,-19
1982.5,-19.72,-7,-28.58,-19,20944,-81,19717,-91,-7066,-14,-11408,-110,23850,-18
1983.5,-19.84,-7,-28.90,-19,20864,-80,19626,-91,-7080,-14,-11517,-110,23832,-17
1984.5,-19.96,-7,-29.22,-19,20784,-80,19535,-91,-7095,-14,-11627,-110,23815,-17
1985.5,-20.07,-6,-29.53,-18,20703,-82,19446,-88,-7104,-4,-11729,-94,23794,-25
1986.5,-20.16,-6,-29.83,-18,20621,-82,19358,-88,-7107,-4,-11822,-94,23769,-24
1987.5,-20.25,-6,-30.12,-18,20539,-82,19269,-88,-7111,-4,-11916,-94,23746,-24
1988.5,-20.35,-6,-30.41,-18,20458,-81,19181,-88,-7114,-4,-12009,-94,23722,-23
1989.5,-20.45,-6,-30.71,-18,20377,-81,19093,-88,-7118,-4,-12103,-94,23700,-22
1990.5,-20.53,-4,-31.00,-17,20296,-79,19008,-82,-7117,6,-12195,-92,23678,-20
1991.5,-20.59,-4,-31.29,-17,20218,-79,18926,-82,-7111,6,-12287,-92,23658,-20
1992.5,-20.66,-4,-31.58,-17,20139,-79,18844,-82,-7105,6,-12379,-92,23639,-19
1993.5,-20.73,-4,-31.87,-17,20060,-79,18762,-82,-7099,6,-12470,-92,23620,-19
1994.5,-20.79,-4,-32.16,-17,19981,-79,18679,-82,-7094,6,-12562,-92,23602,-18
1995.5,-20.87,-5,-32.45,-18,19898,-87,18592,-93,-7090,1,-12651,-87,23579,-27
1996.5,-20.97,-6,-32.74,-18,19811,-87,18499,-93,-7089,1,-12738,-87,23553,-26
1997.5,-21.06,-6,-33.03,-18,19724,-87,18407,-93,-7087,1,-12825,-87,23527,-25
1998.5,-21.15,-6,-33.33,-18,19637,-87,18314,-93,-7086,1,-12912,-87,23502,-25
1999.5,-21.25,-6,-33.62,-18,19550,-87,18222,-93,-7085,1,-12999,-87,23478,-24
2000.5,-21.33,-5,-33.91,-17,19467,-80,18133,-84,-7082,4,-13087,-88,23457,-17
2001.5,-21.41,-5,-34.20,-17,19387,-80,18049,-84,-7078,4,-13175,-88,23440,-17
2002.5,-21.49,-5,-34.49,-17,19307,-80,17964,-84,-7073,4,-13263,-88,23424,-16
2003.5,-21.57,-5,-34.78,-17,19227,-80,17880,-84,-7069,4,-13352,-88,23408,-15
2004.5,-21.65,-5,-35.07,-17,19147,-80,17796,-84,-7065,4,-13440,-88,23393,-15
2005.5,-21.74,-5,-35.36,-18,19067,-80,17711,-86,-7062,2,-13532,-96,23381,-10
2006.5,-21.83,-6,-35.67,-18,18986,-80,17625,-86,-7060,2,-13628,-96,23371,-10
2007.5,-21.92,-6,-35.98,-18,18906,-80,17539,-86,-7059,2,-13723,-96,23361,-9
2008.5,-22.02,-6,-36.28,-18,18825,-80,17453,-86,-7057,2,-13819,-96,23353,-8
2009.5,-22.11,-6,-36.59,-18,18745,-80,17367,-86,-7056,2,-13914,-96,23345,-8
2010.5,-22.20,-6,-36.91,-20,18659,-93,17275,-97,-7051,7,-14013,-102,23335,-13
2011.5,-22.30,-6,-37.24,-20,18566,-93,17177,-97,-7044,7,-14115,-102,23322,-12
2012.5,-22.39,-6,-37.58,-20,18473,-93,17080,-97,-7037,7,-14217,-102,23310,-12
2013.5,-22.48,-6,-37.92,-20,18380,-93,16983,-97,-7029,7,-14318,-102,23299,-11
2014.5,-22.58,-6,-38.26,-20,18287,-93,16885,-97,-7022,7,-14420,-102,23288,-10
2015.5,-22.68,-6,-38.59,-20,18198,-85,16791,-91,-7016,3,-14522,-101,23282,-3
